id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,video,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant,gtin,quantity_to_sell_on_facebook,custom_label_4,rich_text_description,internal_label,external_variant_id, is_woo_all_products_sync
2558,"Jeunesse Reserve","RESVERATROL 
Heart-friendly resveratrol is the most influential ingredient in Reserve. 
 
   Heart-friendly polyphenol 
   Subject of decades of research 
   Associated with the 'French Paradox' 
 
SUPERFRUITS 
Each fruit in Reserve was specially selected due to extensive scientific research, its antioxidant level*, nutrition profile and great taste. 
 
   Scientifically researched 
 
   Nutrition profile 
  Great taste",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/12/RES-US-BOX7-REV4-and-RES-US-PKT3-REV1-500px.webp?fit=500%2C500&ssl=1,https://jnbhealth.com/product/jeunesse-reserve/,"Jeunesse","JNB Pruvit Ketones Drink Shop","151.95USD","in stock",2558,,,,"/","49.95USD",new,"published",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<h1><span class=' cms cms-translation' data-content='resveratrol' data-name='section4Header' data-state='reserve-new'>RESVERATROL</span></h1>
<h3><span class=' cms cms-translation' data-content='Heart-friendly resveratrol is the most influential ingredient in Reserve.' data-name='section4SubHeader' data-state='reserve-new'>Heart-friendly resveratrol is the most influential ingredient in Reserve.</span></h3>
<ul>
 	<li><i class='fa fa-check-circle'></i><span class=' cms cms-translation' data-content=' Heart-friendly polyphenol' data-name='section4ListItem1' data-state='reserve-new'> Heart-friendly polyphenol</span></li>
 	<li><i class='fa fa-check-circle'></i><span class=' cms cms-translation' data-content=' Subject of decades of research' data-name='section4ListItem3' data-state='reserve-new'> Subject of decades of research</span></li>
 	<li><i class='fa fa-check-circle'></i><span class=' cms cms-translation' data-content=' Associated with the &quot;French Paradox&quot;' data-name='section4ListItem4' data-state='reserve-new'> Associated with the 'French Paradox'</span></li>
</ul>
<h1>SUPERFRUITS</h1>
<h3>Each fruit in Reserve was specially selected due to extensive scientific research, its antioxidant level*, nutrition profile and great taste.</h3>
<ul>
 	<li><span class=' cms cms-translation' data-content=' Heart-friendly polyphenol' data-name='section4ListItem1' data-state='reserve-new'> Scientifically researched
</span></li>
 	<li><i class='fa fa-check-circle'></i><span class=' cms cms-translation' data-content=' Subject of decades of research' data-name='section4ListItem3' data-state='reserve-new'> Nutrition profile</span></li>
 	<li><i class='fa fa-check-circle'></i>Great taste</li>
</ul>",['no_shipping_class'],2558,
2315,"Usanimals","The USANA Difference 
 
Take a walk on the wild side and give your little animals the nutrients they need with Usanimals. These kid-friendly supplements support healthy growth and development with an excellent range of essential vitamins, minerals, and antioxidants to support healthy immune function, energy levels, bone support, and brain development. 
 
Health Benefits 
 
  Provides excellent nutritional support for growing children 
  Supports healthy immune function with vitamins A, C, E, and zinc 
  Includes vitamins B6, B12, folate, and choline for healthy brain function 
  Includes calcium, magnesium, and vitamin D for strong bones and teeth 
  Includes iron, thiamin, and B12 for energy 
  Easy-to-eat chewables stamped with fun animal shapes",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/Usanimals.jpg?fit=727%2C760&ssl=1,https://jnbhealth.com/product/usanimals/,"Usana","JNB Pruvit Ketones Drink Shop","23.05USD","out of stock",2315,,,,"/","21.99USD",new,"hidden",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<strong>The USANA Difference</strong>

Take a walk on the wild side and give your little animals the nutrients they need with <strong>Usanimals</strong>. These kid-friendly supplements support healthy growth and development with an excellent range of essential vitamins, minerals, and antioxidants to support healthy immune function, energy levels, bone support, and brain development.

<strong>Health Benefits</strong>
<ul>
 	<li>Provides excellent nutritional support for growing children</li>
 	<li>Supports healthy immune function with vitamins A, C, E, and zinc</li>
 	<li>Includes vitamins B6, B12, folate, and choline for healthy brain function</li>
 	<li>Includes calcium, magnesium, and vitamin D for strong bones and teeth</li>
 	<li>Includes iron, thiamin, and B12 for energy</li>
 	<li>Easy-to-eat chewables stamped with fun animal shapes</li>
</ul>",['no_shipping_class'],2315,
2313,"Visionex DS","The USANA Difference 
 
Whether you’re hiking, biking, or hitting the pool, your outdoor lifestyle is likely affecting your retinas. A good pair of sunglasses can only go so far. Give the delicate tissues of your eyes the protection they deserve with USANA’s antioxidant supplement, designed to support long-term eye health. 
 
Health Benefits 
 
  Protects the retina with lutein, zeaxanthin, and bilberry extract 
  Contains vitamin C and other nutrients to help maintain the structure and integrity of the lens",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/Visionex-DS.jpg?fit=742%2C759&ssl=1,https://jnbhealth.com/product/visionex-ds/,"Usana","JNB Pruvit Ketones Drink Shop","41.75USD","in stock",2313,,,,"/","36.99USD",new,"published",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<strong>The USANA Difference</strong>

Whether you’re hiking, biking, or hitting the pool, your outdoor lifestyle is likely affecting your retinas. A good pair of sunglasses can only go so far. Give the delicate tissues of your eyes the protection they deserve with USANA’s antioxidant supplement, designed to support long-term eye health.

<strong>Health Benefits</strong>
<ul>
 	<li>Protects the retina with lutein, zeaxanthin, and bilberry extract</li>
 	<li>Contains vitamin C and other nutrients to help maintain the structure and integrity of the lens</li>
</ul>",['no_shipping_class'],2313,
2311,"MagneCal D","The USANA Difference 
 
Your bones are the foundation of your healthy lifestyle. Support them with our perfectly balanced MagneCal D. The secret is equal amounts of magnesium and calcium plus advanced levels of vitamin D. This supports a more ideal ratio of these nutrients in your body. The benefits of MagneCal D go beyond bone health. It also supports your heart, muscles, healthy energy metabolism, and more. 
 
Health Benefits 
 
  Provides balanced levels of calcium and magnesium, along with advanced levels of vitamin D in truly bioavailable forms 
  Helps maintain strong, healthy bones, teeth, and nails 
  Supports healthy muscle function and strength",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/MagneCal-D.jpg?fit=802%2C761&ssl=1,https://jnbhealth.com/product/magnecal-d/,"Usana","JNB Pruvit Ketones Drink Shop","30USD","in stock",2311,,,,"/","27.99USD",new,"published",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<strong>The USANA Difference</strong>

Your bones are the foundation of your healthy lifestyle. Support them with our perfectly balanced <strong>MagneCal D</strong>. The secret is equal amounts of magnesium and calcium plus advanced levels of vitamin D. This supports a more ideal ratio of these nutrients in your body. The benefits of MagneCal D go beyond bone health. It also supports your heart, muscles, healthy energy metabolism, and more.

<strong>Health Benefits</strong>
<ul>
 	<li>Provides balanced levels of calcium and magnesium, along with advanced levels of vitamin D in truly bioavailable forms</li>
 	<li>Helps maintain strong, healthy bones, teeth, and nails</li>
 	<li>Supports healthy muscle function and strength</li>
</ul>",['no_shipping_class'],2311,
2309,"CoQuinone 100","The USANA Difference 
 
Energy begins at the most basic level—your cells. CoQuinone 100 supports the creation of energy in your cells with nutrients that benefit muscle function, healthy nerves, and cardiovascular health. CoQuinone 100 also assists the high-energy demand of your heart. At more than three times the strength of CoQuinone 30, this high-potency tablet allows for customization of your nutrition with fewer tablets. 
 
Health Benefits 
 
  Central to robust energy production within the cell 
  Provides ingredients vital to support cardiovascular health, sound muscle function, and healthy nerve function 
  Contains a powerful antioxidant blend 
  Clinically shown to be more bioavailable when compared to other forms",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/CoQuinone-100.jpg?fit=800%2C762&ssl=1,https://jnbhealth.com/product/coquinone-100/,"Usana","JNB Pruvit Ketones Drink Shop","67.05USD","in stock",2309,,,,"/","57.99USD",new,"published",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<strong>The USANA Difference</strong>

Energy begins at the most basic level—your cells. CoQuinone 100 supports the creation of energy in your cells with nutrients that benefit muscle function, healthy nerves, and cardiovascular health. CoQuinone 100 also assists the high-energy demand of your heart. At more than three times the strength of CoQuinone 30, this high-potency tablet allows for customization of your nutrition with fewer tablets.

<strong>Health Benefits</strong>
<ul>
 	<li>Central to robust energy production within the cell</li>
 	<li>Provides ingredients vital to support cardiovascular health, sound muscle function, and healthy nerve function</li>
 	<li>Contains a powerful antioxidant blend</li>
 	<li>Clinically shown to be more bioavailable when compared to other forms</li>
</ul>",['no_shipping_class'],2309,
2307,"Procosa","The USANA Difference 
 
Procosa—formulated with InCelligence Joint-Support Complex—is designed to care for those unique spots where your bones connect. So whether you’re hitting the running trail or helping to protect your aging joints, the proven ingredients in Procosa are scientifically formulated to keep you going day in and day out. 
 
Health Benefits 
 
  Contains the InCelligence Joint-Support Complex—a combination of glucosamine and Meriva Bioavailable Curcumin that helps to influence the signaling pathways that proactively support an optimal immune and inflammatory response 
  Delivers vegetarian glucosamine HCI to help maintain healthy cartilage and joints 
  Helps regulate normal cartilage formation 
  Supports joint function and comfort with Meriva Bioavailable Curcumin—an innovative phytosome that is nearly 30 times more bioavailable than traditional curcumin preparations",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/Procosa-e1701206668344.jpg?fit=816%2C771&ssl=1,https://jnbhealth.com/product/procosa/,"Usana","JNB Pruvit Ketones Drink Shop","40.65USD","in stock",2307,,,,"/","38.99USD",new,"published",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<strong>The USANA Difference</strong>

Procosa—formulated with InCelligence Joint-Support Complex—is designed to care for those unique spots where your bones connect. So whether you’re hitting the running trail or helping to protect your aging joints, the proven ingredients in Procosa are scientifically formulated to keep you going day in and day out.

<strong>Health Benefits</strong>
<ul>
 	<li>Contains the InCelligence Joint-Support Complex—a combination of glucosamine and Meriva Bioavailable Curcumin that helps to influence the signaling pathways that proactively support an optimal immune and inflammatory response</li>
 	<li>Delivers vegetarian glucosamine HCI to help maintain healthy cartilage and joints</li>
 	<li>Helps regulate normal cartilage formation</li>
 	<li>Supports joint function and comfort with Meriva Bioavailable Curcumin—an innovative phytosome that is nearly 30 times more bioavailable than traditional curcumin preparations</li>
</ul>",['no_shipping_class'],2307,
2305,"Probiotic","The USANA Difference 
 
Bring some balance to your belly with USANA Probiotic—a carefully selected blend of probiotic bacteria that can survive the harsh environment of your stomach to support healthy digestion and immune function. And in a convenient stick pack, you can easily add it to your favorite shake or take it on the go.",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/Probiotic.jpg?fit=892%2C768&ssl=1,https://jnbhealth.com/product/probiotic/,"Usana","JNB Pruvit Ketones Drink Shop","34.05USD","in stock",2305,,,,"/","27.99USD",new,"published",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<strong>The USANA Difference</strong>

Bring some balance to your belly with USANA <strong>Probiotic</strong>—a carefully selected blend of probiotic bacteria that can survive the harsh environment of your stomach to support healthy digestion and immune function. And in a convenient stick pack, you can easily add it to your favorite shake or take it on the go.",['no_shipping_class'],2305,
2303,"EstroPro","The USANA Difference 
 
Created for the unique transition of menopause, this naturally derived women’s health supplement helps to ease common menopausal symptoms. Key ingredients red clover, soy isoflavones, flaxseed extract, and licorice root extract provide a gentle option for women who experience hot flashes and other uncomfortable symptoms associated with the fluctuation of hormones during menopause. The naturally derived botanical extracts offer symptomatic support while contributing to cardiovascular and bone health.* 
 
Health Benefits 
 
  Helps to provide gentle relief from commonly experienced menopausal symptoms including hot flashes, night sweats, and mood swings. 
  Provides phytoestrogens that communicate with estrogen receptors in the body to assist in well-being during menopausal activity 
  Formulated to help maintain healthy bone mass and heart health, common health concerns both during and after the transition into menopause 
  Supports the normal and healthy function of hormones in menopausal women",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/EstroPro.jpg?fit=812%2C760&ssl=1,https://jnbhealth.com/product/estropro/,"Usana","JNB Pruvit Ketones Drink Shop","30.75USD","in stock",2303,,,,"/","26.99USD",new,"published",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<strong>The USANA Difference</strong>

Created for the unique transition of menopause, this naturally derived women’s health supplement helps to ease common menopausal symptoms. Key ingredients red clover, soy isoflavones, flaxseed extract, and licorice root extract provide a gentle option for women who experience hot flashes and other uncomfortable symptoms associated with the fluctuation of hormones during menopause. The naturally derived botanical extracts offer symptomatic support while contributing to cardiovascular and bone health.*

<strong>Health Benefits</strong>
<ul>
 	<li>Helps to provide gentle relief from commonly experienced menopausal symptoms including hot flashes, night sweats, and mood swings.</li>
 	<li>Provides phytoestrogens that communicate with estrogen receptors in the body to assist in well-being during menopausal activity</li>
 	<li>Formulated to help maintain healthy bone mass and heart health, common health concerns both during and after the transition into menopause</li>
 	<li>Supports the normal and healthy function of hormones in menopausal women</li>
</ul>",['no_shipping_class'],2303,
2301,"Vitamin D","The USANA Difference 
 
Pesky winter months mean you can’t get the perks of the sun all year round. But those valuable rays provide nutrients needed for normal bone mineralization and growth. No matter the time of year, support healthy vitamin D levels with USANA’s Vitamin D supplement—all the sunshine you need in one little tablet. 
 
Health Benefits 
 
  Helps with development and maintenance of bones and teeth 
  Aids in the absorption and use of calcium and phosphorus 
  Provides 50 mcg (2000 IU) of vitamin D per tablet—more than four times the amount of the current recommendation",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/vitamin-d.jpg?fit=780%2C759&ssl=1,https://jnbhealth.com/product/vitamin-d/,"Usana","JNB Pruvit Ketones Drink Shop","30USD","in stock",2301,,,,"/","25.99USD",new,"published",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<strong>The USANA Difference</strong>

Pesky winter months mean you can’t get the perks of the sun all year round. But those valuable rays provide nutrients needed for normal bone mineralization and growth. No matter the time of year, support healthy vitamin D levels with USANA’s <strong>Vitamin D</strong> supplement—all the sunshine you need in one little tablet.

<strong>Health Benefits</strong>
<ul>
 	<li>Helps with development and maintenance of bones and teeth</li>
 	<li>Aids in the absorption and use of calcium and phosphorus</li>
 	<li>Provides 50 mcg (2000 IU) of vitamin D per tablet—more than four times the amount of the current recommendation</li>
</ul>",['no_shipping_class'],2301,
2299,"Pure Rest","The USANA Difference 
 
A good night’s sleep can help promote healthy immune function and support antioxidant defense. So get the sleep you need with USANA’s Pure Rest. This fast-acting, ultra-pure supplement is both effective and non-habit forming as it uses melatonin to naturally regulate your sleep and wake cycles. 
 
Health Benefits 
 
  Contains melatonin, a naturally occurring hormone synthesized in the brain that regulates sleep and wake cycles 
  Sugar-free, dissolvable tablet designed to support better sleep with a tasty orange flavor 
  Contains no animal ingredients",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/purerest.jpg?fit=755%2C769&ssl=1,https://jnbhealth.com/product/pure-rest/,"Usana","JNB Pruvit Ketones Drink Shop","21.95USD","out of stock",2299,,,,"/","20USD",new,"hidden",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<strong>The USANA Difference</strong>

A good night’s sleep can help promote healthy immune function and support antioxidant defense. So get the sleep you need with USANA’s <strong>Pure Rest</strong>. This fast-acting, ultra-pure supplement is both effective and non-habit forming as it uses melatonin to naturally regulate your sleep and wake cycles.

<strong>Health Benefits</strong>
<ul>
 	<li>Contains melatonin, a naturally occurring hormone synthesized in the brain that regulates sleep and wake cycles</li>
 	<li>Sugar-free, dissolvable tablet designed to support better sleep with a tasty orange flavor</li>
 	<li>Contains no animal ingredients</li>
</ul>",['no_shipping_class'],2299,
2297,"BiOmega","The USANA Difference 
 
Omega-3 fatty acids play an important part in many body systems that contribute to optimal health. BiOmega offers a convenient way to get these valuable nutrients when you’re not consuming enough fish. Plus, this unique formula includes an extra dose of vitamin D and lemon oil to eliminate any fishy aftertaste. 
 
Health Benefits 
 
  Supports sound cardiovascular, immune, and joint health 
  Provides advanced and guaranteed levels of EPA and DHA—two long-chain omega-3 fatty acids important for memory and learning 
  Critical for promoting healthy pregnancies and healthy babies 
  Plays a role in many important cellular processes critical to the body's healthy functioning",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/biomega.jpg?fit=778%2C749&ssl=1,https://jnbhealth.com/product/biomega/,"Usana","JNB Pruvit Ketones Drink Shop","30.75USD","in stock",2297,,,,"/","27.99USD",new,"published",,,,,,,,,,"https://jnbhealth.com/fbcollection/","<strong>The USANA Difference</strong>

Omega-3 fatty acids play an important part in many body systems that contribute to optimal health. BiOmega offers a convenient way to get these valuable nutrients when you’re not consuming enough fish. Plus, this unique formula includes an extra dose of vitamin D and lemon oil to eliminate any fishy aftertaste.

<strong>Health Benefits</strong>
<ul>
 	<li>Supports sound cardiovascular, immune, and joint health</li>
 	<li>Provides advanced and guaranteed levels of EPA and DHA—two long-chain omega-3 fatty acids important for memory and learning</li>
 	<li>Critical for promoting healthy pregnancies and healthy babies</li>
 	<li>Plays a role in many important cellular processes critical to the body's healthy functioning</li>
</ul>",['no_shipping_class'],2297,
2294,"Nutrimeal Protein Meal Replacement Shake - Dutch Chocolate","We know you want exceptional nutrition in everything you eat. We also know that you are incredibly busy. That’s why USANA developed tasty and convenient Nutrimeal shakes. This low-glycemic formula, full of dietary fiber and protein, can give you all the nutrients you need to have a satisfying meal on the go. 
 
Body Benefits: 
 
  Supports satiety 
  Helps feel fuller longer and curb cravings 
  Helps support your weight management goals 
 
Features & Benefits: 
 
  Packed with protein to fuel you throughout the day 
  Great source of fiber to support healthy digestion and keep you feeling full 
  Provides an optimal ratio of carbs, fiber, protein, and healthy fats 
  Formulated with no gluten, artificial flavors, or sweeteners 
  20 vitamins and minerals including magnesium, calcium, biotin, and vitamin B12 
  Gluten free 
  Complete GM-free protein 
  Contains a low-glycemic index to help reduce carbohydrate cravings and provide sustained energy.",https://i0.wp.com/jnbhealth.com/wp-content/uploads/2023/11/nutrimeal-dutch-choco.jpg?fit=889%2C771&ssl=1,https://jnbhealth.com/product/nutrimeal-protein-meal-replacement-shake-dutch-chocolate/,"Usana","JNB Pruvit Ketones Drink Shop","50USD","in stock",2294,,,,"/","44.95USD",new,"published",,,,,,,,,,"https://jnbhealth.com/fbcollection/","We know you want exceptional nutrition in everything you eat. We also know that you are incredibly busy. That’s why USANA developed tasty and convenient Nutrimeal shakes. This low-glycemic formula, full of dietary fiber and protein, can give you all the nutrients you need to have a satisfying meal on the go.

<strong>Body Benefits:</strong>
<ul>
 	<li>Supports satiety</li>
 	<li>Helps feel fuller longer and curb cravings</li>
 	<li>Helps support your weight management goals</li>
</ul>
<strong>Features &amp; Benefits:</strong>
<ul>
 	<li>Packed with protein to fuel you throughout the day</li>
 	<li>Great source of fiber to support healthy digestion and keep you feeling full</li>
 	<li>Provides an optimal ratio of carbs, fiber, protein, and healthy fats</li>
 	<li>Formulated with no gluten, artificial flavors, or sweeteners</li>
 	<li>20 vitamins and minerals including magnesium, calcium, <s>biotin,</s> and vitamin B12</li>
 	<li>Gluten free</li>
 	<li>Complete GM-free protein</li>
 	<li>Contains a low-glycemic index to help reduce carbohydrate cravings and provide sustained energy.</li>
</ul>",['no_shipping_class'],2294,
